time     | svc | cur | Δ  | tgt | p99
2026-02-18T11:29:39+00:00,5.0,1.0,1.0
2026-02-18T11:29:54+00:00,5.0,1.0,1.0
2026-02-18T11:30:09+00:00,5.0,1.0,1.0
2026-02-18T11:30:24+00:00,5.0,1.0,1.0
2026-02-18T11:30:39+00:00,5.0,1.0,1.0
2026-02-18T11:30:54+00:00,5.0,1.0,1.0
2026-02-18T11:31:09+00:00,5.0,1.0,1.0
2026-02-18T11:31:24+00:00,4.0,1.0,1.0
2026-02-18T11:31:39+00:00,4.0,1.0,1.0
2026-02-18T11:31:54+00:00,3.0,1.0,1.0
2026-02-18T11:32:09+00:00,3.0,1.0,1.0
2026-02-18T11:32:24+00:00,4.0,1.0,1.0
2026-02-18T11:32:39+00:00,4.0,1.0,1.0
2026-02-18T11:32:54+00:00,4.0,1.0,1.0
2026-02-18T11:33:09+00:00,4.0,1.0,1.0
2026-02-18T11:33:24+00:00,4.0,1.0,1.0
2026-02-18T11:33:39+00:00,4.0,1.0,1.0
2026-02-18T11:33:54+00:00,5.0,1.0,1.0
2026-02-18T11:34:09+00:00,5.0,1.0,1.0
2026-02-18T11:34:24+00:00,5.0,1.0,1.0
2026-02-18T11:34:39+00:00,5.0,1.0,1.0
2026-02-18T11:34:54+00:00,4.0,1.0,1.0
2026-02-18T11:35:09+00:00,4.0,1.0,1.0
2026-02-18T11:35:24+00:00,4.0,1.0,1.0
